File Number,Rarity Score,Position
7,10000.00,1
1434,10000.00,2
1692,10000.00,3
1715,10000.00,4
2275,10000.00,5
2788,10000.00,6
3037,10000.00,7
3319,10000.00,8
3547,10000.00,9
4330,10000.00,10
6093,10000.00,11
6217,10000.00,12
6966,10000.00,13
8224,10000.00,14
9945,546.99,15
6623,406.07,16
8396,371.37,17
4851,364.63,18
8773,349.89,19
8878,344.03,20
1800,340.49,21
368,340.40,22
6613,339.94,23
1058,338.97,24
4783,330.45,25
4606,329.42,26
1876,328.68,27
8837,328.68,28
6467,328.51,29
3777,326.69,30
283,324.85,31
5930,324.79,32
4067,324.41,33
2701,324.11,34
681,322.95,35
8419,321.98,36
2210,321.74,37
9474,321.71,38
2376,321.58,39
4595,321.17,40
8041,320.40,41
2073,319.24,42
6762,319.16,43
2919,318.99,44
5245,318.40,45
7898,316.35,46
3544,314.90,47
1436,311.64,48
8306,311.57,49
1287,282.86,50
260,282.09,51
8001,279.40,52
7739,278.66,53
6413,277.29,54
6726,274.25,55
7085,267.79,56
3608,267.60,57
7411,267.59,58
8627,265.64,59
9735,264.71,60
1350,264.53,61
7393,264.16,62
1751,262.90,63
3969,262.64,64
3342,262.31,65
1222,262.27,66
7876,261.24,67
6332,260.98,68
8809,260.57,69
8749,260.56,70
8888,260.02,71
7690,259.47,72
6499,259.21,73
6318,259.04,74
4132,258.86,75
5613,258.50,76
8855,258.13,77
4325,257.66,78
6522,257.42,79
9489,256.63,80
3247,255.99,81
6487,255.74,82
9839,255.42,83
6614,255.37,84
8529,254.49,85
2684,253.51,86
4647,253.06,87
3941,252.32,88
3482,252.09,89
4243,248.97,90
7126,248.82,91
3151,246.71,92
9299,245.11,93
6249,216.65,94
4693,213.99,95
8489,211.01,96
5637,203.74,97
4028,198.46,98
879,195.79,99
5657,194.38,100
4823,193.64,101
8704,192.68,102
8983,191.76,103
440,190.72,104
642,189.42,105
9649,189.12,106
6829,187.04,107
3994,185.54,108
4916,184.00,109
2229,183.62,110
964,182.91,111
7381,182.79,112
1252,182.45,113
4855,181.64,114
5113,181.17,115
2167,180.78,116
1202,180.29,117
6881,178.94,118
9495,177.49,119
6676,176.94,120
8438,176.62,121
2413,176.18,122
1945,176.12,123
1722,175.68,124
5854,175.40,125
6875,174.12,126
1036,173.66,127
7868,173.35,128
3138,170.97,129
4600,170.30,130
4585,170.27,131
8144,170.24,132
8537,169.96,133
4147,169.83,134
5038,169.48,135
3965,169.25,136
9014,168.88,137
6123,168.60,138
3727,168.56,139
1267,168.46,140
9056,168.43,141
5332,167.89,142
8767,167.84,143
